suite,name,autonuma,interleave,time_elapsed_mean,time_elapsed_ci
splash2x,ocean_cp,0,0,85.37125,2.06646651019
splash2x,ocean_cp,1,0,34.65125,0.569183753559
splash2x,ocean_cp,0,1,26.529375,0.104879966043
